,line_id,name,shortName,mode,networkId,impactedObjects,file_lastUpdatedDate
19,line:IDFM:C00298,9,9,Bus,network:IDFM:1054,"[{'disruptionIds': ['177790da-b30c-11ef-a448-0a58a9feac02', '215a454a-b3d2-11ef-ab9b-0a58a9feac02'], 'id': 'line:IDFM:C00298', 'name': '9', 'type': 'line'}, {'disruptionIds': ['4635dd9e-b2eb-11ef-845d-0a58a9feac02'], 'id': 'stop_point:IDFM:8530', 'name': 'Léon Feix', 'type': 'stop_point'}, {'disruptionIds': ['4635dd9e-b2eb-11ef-845d-0a58a9feac02'], 'id': 'stop_point:IDFM:7574', 'name': 'Hôtel de Ville', 'type': 'stop_point'}]",2024-12-06T13:50:22.638Z
20,line:IDFM:C00325,12,12,Bus,network:IDFM:1054,"[{'disruptionIds': ['c8cfc682-5b90-11ef-b754-0a58a9feac02'], 'id': 'line:IDFM:C00325', 'name': '12', 'type': 'line'}]",2024-12-06T13:50:22.638Z
21,line:IDFM:C01478,12,12,Bus,network:IDFM:1054,"[{'disruptionIds': ['7cf1512e-8604-11ef-8158-0a58a9feac02'], 'id': 'line:IDFM:C01478', 'name': '12', 'type': 'line'}]",2024-12-06T13:50:22.638Z
22,line:IDFM:C00306,34,34,Bus,network:IDFM:1054,"[{'disruptionIds': ['ab710480-8570-11ee-86fe-0a58a9feac02', 'eb738410-b30d-11ef-90f2-0a58a9feac02', 'd2f8e398-b3cc-11ef-a448-0a58a9feac02'], 'id': 'line:IDFM:C00306', 'name': '34', 'type': 'line'}]",2024-12-06T13:50:22.638Z
23,line:IDFM:C02360,56,56,Bus,network:IDFM:1054,"[{'disruptionIds': ['7cf1512e-8604-11ef-8158-0a58a9feac02'], 'id': 'line:IDFM:C02360', 'name': '56', 'type': 'line'}]",2024-12-06T13:50:22.638Z
24,line:IDFM:C00311,503 Scolaire,503,Bus,network:IDFM:1054,"[{'disruptionIds': ['32f8fa86-ad2d-11ef-a448-0a58a9feac02'], 'id': 'line:IDFM:C00311', 'name': '503 Scolaire', 'type': 'line'}]",2024-12-06T13:50:22.638Z
25,line:IDFM:C00330,A,A,Bus,network:IDFM:1054,"[{'disruptionIds': ['8ba4d734-ab4a-11ef-ab9b-0a58a9feac02'], 'id': 'line:IDFM:C00330', 'name': 'A', 'type': 'line'}]",2024-12-06T13:50:22.638Z
26,line:IDFM:C01755,D,D,Bus,network:IDFM:1054,"[{'disruptionIds': ['7cf1512e-8604-11ef-8158-0a58a9feac02'], 'id': 'line:IDFM:C01755', 'name': 'D', 'type': 'line'}]",2024-12-06T13:50:22.638Z
27,line:IDFM:C00332,E,E,Bus,network:IDFM:1054,"[{'disruptionIds': ['7cf1512e-8604-11ef-8158-0a58a9feac02', 'c8cfc682-5b90-11ef-b754-0a58a9feac02'], 'id': 'line:IDFM:C00332', 'name': 'E', 'type': 'line'}]",2024-12-06T13:50:22.638Z
28,line:IDFM:C00317,H,H,Bus,network:IDFM:1054,"[{'disruptionIds': ['74457b36-9cf7-11ef-b233-0a58a9feac02'], 'id': 'line:IDFM:C00317', 'name': 'H', 'type': 'line'}]",2024-12-06T13:50:22.638Z
29,line:IDFM:C00316,J,J,Bus,network:IDFM:1054,"[{'disruptionIds': ['74457b36-9cf7-11ef-b233-0a58a9feac02'], 'id': 'line:IDFM:C00316', 'name': 'J', 'type': 'line'}]",2024-12-06T13:50:22.638Z
30,line:IDFM:C02142,L,L,Bus,network:IDFM:1054,"[{'disruptionIds': ['8ba4d734-ab4a-11ef-ab9b-0a58a9feac02'], 'id': 'line:IDFM:C02142', 'name': 'L', 'type': 'line'}]",2024-12-06T13:50:22.638Z
31,line:IDFM:C00336,M,M,Bus,network:IDFM:1054,"[{'disruptionIds': ['c8cfc682-5b90-11ef-b754-0a58a9feac02'], 'id': 'line:IDFM:C00336', 'name': 'M', 'type': 'line'}]",2024-12-06T13:50:22.638Z
32,line:IDFM:C02146,S4,S4,Bus,network:IDFM:1054,"[{'disruptionIds': ['b6168874-acca-11ef-a448-0a58a9feac02'], 'id': 'line:IDFM:C02146', 'name': 'S4', 'type': 'line'}]",2024-12-06T13:50:22.638Z
33,line:IDFM:C01548,701,701,Bus,network:IDFM:Operator_233,"[{'disruptionIds': ['c356709c-7018-11ef-81fe-0a58a9feac02', 'd042e71e-902a-11ee-96b8-0a58a9feac02', 'c8ed0c64-7018-11ef-8057-0a58a9feac02'], 'id': 'line:IDFM:C01548', 'name': '701', 'type': 'line'}]",2024-12-06T13:50:22.638Z
34,line:IDFM:C02677,A02 Saint Denis Université,A02 SDU,Bus,network:IDFM:1085,"[{'disruptionIds': ['2fe9811e-f264-11ee-9935-0a58a9feac02'], 'id': 'line:IDFM:C02677', 'name': 'A02 Saint Denis Université', 'type': 'line'}]",2024-12-06T13:50:22.638Z
35,line:IDFM:C02678,A03 Paris La Défense,A03 DEF,Bus,network:IDFM:1085,"[{'disruptionIds': ['0258548c-1109-11ef-a614-0a58a9feac02'], 'id': 'line:IDFM:C02678', 'name': 'A03 Paris La Défense', 'type': 'line'}]",2024-12-06T13:50:22.638Z
36,line:IDFM:C02723,A04 Paris La Villette,A04 VIL,Bus,network:IDFM:1085,"[{'disruptionIds': ['a7397530-b0c3-11ef-90f2-0a58a9feac02'], 'id': 'line:IDFM:C02723', 'name': 'A04 Paris La Villette', 'type': 'line'}]",2024-12-06T13:50:22.638Z
37,line:IDFM:C02679,A05 Disneyland Paris,A05 DIS,Bus,network:IDFM:1085,"[{'disruptionIds': ['a2dd0fe6-f7e2-11ee-9935-0a58a9feac02'], 'id': 'line:IDFM:C02679', 'name': 'A05 Disneyland Paris', 'type': 'line'}]",2024-12-06T13:50:22.638Z
38,line:IDFM:C00339,401,401,Bus,network:IDFM:1063,"[{'disruptionIds': ['53a2158a-ad9e-11ef-b233-0a58a9feac02', '9d07245e-ad9e-11ef-a448-0a58a9feac02'], 'id': 'line:IDFM:C00339', 'name': '401', 'type': 'line'}]",2024-12-06T13:50:22.638Z
39,line:IDFM:C00345,408,408,Bus,network:IDFM:1063,"[{'disruptionIds': ['0019fb70-b169-11ef-ab9b-0a58a9feac02'], 'id': 'line:IDFM:C00345', 'name': '408', 'type': 'line'}]",2024-12-06T13:50:22.638Z
40,line:IDFM:C00346,409,409,Bus,network:IDFM:1063,"[{'disruptionIds': ['834ccbe6-9db2-11ef-90f2-0a58a9feac02'], 'id': 'line:IDFM:C00346', 'name': '409', 'type': 'line'}]",2024-12-06T13:50:22.638Z
41,line:IDFM:C00342,412,412,Bus,network:IDFM:1063,"[{'disruptionIds': ['1edc6ba6-a75a-11ef-ab9b-0a58a9feac02', '25200e02-8ad4-11ef-8d26-0a58a9feac02', '7843c1ee-a75a-11ef-b233-0a58a9feac02', 'b6358966-ae5c-11ef-a448-0a58a9feac02', 'eaeeec88-ad9e-11ef-b233-0a58a9feac02'], 'id': 'line:IDFM:C00342', 'name': '412', 'type': 'line'}]",2024-12-06T13:50:22.638Z
42,line:IDFM:C01658,415,415,Bus,network:IDFM:1063,"[{'disruptionIds': ['060d7ca0-b05b-11ef-90f2-0a58a9feac02'], 'id': 'line:IDFM:C01658', 'name': '415', 'type': 'line'}, {'disruptionIds': ['060d7ca0-b05b-11ef-90f2-0a58a9feac02'], 'id': 'stop_point:IDFM:12260', 'name': 'Loup Pendu', 'type': 'stop_point'}, {'disruptionIds': ['060d7ca0-b05b-11ef-90f2-0a58a9feac02'], 'id': 'stop_point:IDFM:427575', 'name': 'Maison des Arts', 'type': 'stop_point'}, {'disruptionIds': ['060d7ca0-b05b-11ef-90f2-0a58a9feac02'], 'id': 'stop_point:IDFM:12261', 'name': 'Loup Pendu', 'type': 'stop_point'}]",2024-12-06T13:50:22.638Z
43,line:IDFM:C01062,Express 01,01EX,Bus,network:IDFM:1056,"[{'disruptionIds': ['0dad7214-66e4-11ef-ac31-0a58a9feac02'], 'id': 'line:IDFM:C01062', 'name': 'Express 01', 'type': 'line'}]",2024-12-06T13:50:22.638Z
44,line:IDFM:C02096,02D,02D,Bus,network:IDFM:1056,"[{'disruptionIds': ['ae2677c6-b2df-11ef-90f2-0a58a9feac02', 'b0dd7e10-a803-11ef-90f2-0a58a9feac02'], 'id': 'line:IDFM:C02096', 'name': '02D', 'type': 'line'}]",2024-12-06T13:50:22.638Z
45,line:IDFM:C02097,02E,02E,Bus,network:IDFM:1056,"[{'disruptionIds': ['ae2677c6-b2df-11ef-90f2-0a58a9feac02', 'b0dd7e10-a803-11ef-90f2-0a58a9feac02'], 'id': 'line:IDFM:C02097', 'name': '02E', 'type': 'line'}]",2024-12-06T13:50:22.638Z
46,line:IDFM:C02098,02F,02F,Bus,network:IDFM:1056,"[{'disruptionIds': ['ae2677c6-b2df-11ef-90f2-0a58a9feac02'], 'id': 'line:IDFM:C02098', 'name': '02F', 'type': 'line'}]",2024-12-06T13:50:22.638Z
47,line:IDFM:C02118,09C,09C,Bus,network:IDFM:1056,"[{'disruptionIds': ['198679a6-a739-11ef-845d-0a58a9feac02'], 'id': 'line:IDFM:C02118', 'name': '09C', 'type': 'line'}]",2024-12-06T13:50:22.638Z
48,line:IDFM:C01063,Express 17,17Ex,Bus,network:IDFM:1056,"[{'disruptionIds': ['ae55175a-8fb9-11ef-b4de-0a58a9feac02'], 'id': 'line:IDFM:C01063', 'name': 'Express 17', 'type': 'line'}]",2024-12-06T13:50:22.638Z
49,line:IDFM:C00920,31,31,Bus,network:IDFM:1056,"[{'disruptionIds': ['7154e3fe-58c7-11ef-a8d9-0a58a9feac02', '67565b88-b247-11ef-ab9b-0a58a9feac02', 'e8e214de-acd5-11ef-a448-0a58a9feac02', 'ec46c09a-b318-11ef-90f2-0a58a9feac02'], 'id': 'line:IDFM:C00920', 'name': '31', 'type': 'line'}]",2024-12-06T13:50:22.638Z
50,line:IDFM:C02077,31A,31A,Bus,network:IDFM:1056,"[{'disruptionIds': ['b4d03774-b2df-11ef-ab9b-0a58a9feac02'], 'id': 'line:IDFM:C02077', 'name': '31A', 'type': 'line'}]",2024-12-06T13:50:22.638Z
51,line:IDFM:C02078,31B,31B,Bus,network:IDFM:1056,"[{'disruptionIds': ['ae2677c6-b2df-11ef-90f2-0a58a9feac02', 'b0dd7e10-a803-11ef-90f2-0a58a9feac02'], 'id': 'line:IDFM:C02078', 'name': '31B', 'type': 'line'}]",2024-12-06T13:50:22.638Z
52,line:IDFM:C02079,31C,31C,Bus,network:IDFM:1056,"[{'disruptionIds': ['ae2677c6-b2df-11ef-90f2-0a58a9feac02', 'b0dd7e10-a803-11ef-90f2-0a58a9feac02'], 'id': 'line:IDFM:C02079', 'name': '31C', 'type': 'line'}]",2024-12-06T13:50:22.638Z
53,line:IDFM:C00921,31S,31S,Bus,network:IDFM:1056,"[{'disruptionIds': ['e8e214de-acd5-11ef-a448-0a58a9feac02', 'ec46c09a-b318-11ef-90f2-0a58a9feac02'], 'id': 'line:IDFM:C00921', 'name': '31S', 'type': 'line'}]",2024-12-06T13:50:22.638Z
54,line:IDFM:C00922,32,32,Bus,network:IDFM:1056,"[{'disruptionIds': ['e8e214de-acd5-11ef-a448-0a58a9feac02', 'c2b2fa3e-58c6-11ef-8879-0a58a9feac02'], 'id': 'line:IDFM:C00922', 'name': '32', 'type': 'line'}]",2024-12-06T13:50:22.638Z
